2023-07-24 12:47:38.313 , INFO , null , Application started , [] ,  -  , [] ,  - 
2023-07-24 12:50:39.866 , INFO , assessAtEnd , Create class , [] ,  -  , [null: []] ,  - 
2023-07-24 12:50:40.963 , INFO , assessAtEnd , update class name , [Hotel] ,  -  , [Hotel: []] ,  - 
2023-07-24 12:50:43.009 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-24 12:50:43.017 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-24 12:50:44.195 , INFO , assessAtEnd , update class name , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: []] ,  - 
2023-07-24 12:50:50.214 , INFO , assessAtEnd , Create class , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: [], null: []] ,  - 
2023-07-24 12:50:50.221 , INFO , assessAtEnd , Create class , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: [], null: []] ,  - 
2023-07-24 12:50:50.222 , INFO , assessAtEnd , Create class , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: [], null: []] ,  - 
2023-07-24 12:50:54.882 , INFO , assessAtEnd , remove  class {null} , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: []] ,  - 
2023-07-24 12:51:01.760 , INFO , assessAtEnd , Create class , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: [], null: []] ,  - 
2023-07-24 12:51:01.766 , INFO , assessAtEnd , Create class , [Hotel, Rooms] ,  -  , [Hotel: [], Rooms: [], null: []] ,  - 
2023-07-24 12:51:05.858 , INFO , assessAtEnd , update class name , [Hotel, Rooms, Reservation] ,  -  , [Hotel: [], Rooms: [], Reservation: []] ,  - 
2023-07-24 12:51:11.512 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation] ,  -  , [Hotel: [], Rooms: [], Reservation: [], null: []] ,  - 
2023-07-24 12:51:11.521 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation] ,  -  , [Hotel: [], Rooms: [], Reservation: [], null: []] ,  - 
2023-07-24 12:51:11.522 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation] ,  -  , [Hotel: [], Rooms: [], Reservation: [], null: []] ,  - 
2023-07-24 12:51:11.523 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation] ,  -  , [Hotel: [], Rooms: [], Reservation: [], null: []] ,  - 
2023-07-24 12:51:12.754 , INFO , assessAtEnd , update class name , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:18.111 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:18.126 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:18.128 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:18.129 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:19.969 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:19.970 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:19.971 , INFO , assessAtEnd , Create association , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: []] ,  - 
2023-07-24 12:51:35.463 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: [], null: []] ,  - 
2023-07-24 12:51:35.471 , INFO , assessAtEnd , Create class , [Hotel, Rooms, Reservation, Guest] ,  -  , [Hotel: [], Rooms: [], Reservation: [], Guest: [], null: []] ,  - 
