2023-07-25 14:03:08.643 , INFO , null , Application started , [] ,  -  , [] ,  - 
2023-07-26 09:24:16.374 , INFO , assessAtEnd , Create class , [] ,  -  , [null: []] ,  - 
2023-07-26 09:24:22.755 , INFO , assessAtEnd , update class name , [Hotel] ,  -  , [Hotel: []] ,  - 
2023-07-26 09:24:44.393 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-26 09:24:44.401 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-26 09:25:28.024 , INFO , assessAtEnd , update class name , [Hotel, Room] ,  -  , [Hotel: [], Room: []] ,  - 
2023-07-26 09:25:31.231 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: []] ,  - 
2023-07-26 09:25:31.239 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: []] ,  - 
2023-07-26 09:25:38.421 , INFO , assessAtEnd , update class name , [Hotel, Room, Single] ,  -  , [Hotel: [], Room: [], Single: []] ,  - 
2023-07-26 09:25:40.504 , INFO , assessAtEnd , Create class , [Hotel, Room, Single] ,  -  , [Hotel: [], Room: [], Single: [], null: []] ,  - 
2023-07-26 09:25:40.513 , INFO , assessAtEnd , Create class , [Hotel, Room, Single] ,  -  , [Hotel: [], Room: [], Single: [], null: []] ,  - 
2023-07-26 09:25:40.514 , INFO , assessAtEnd , Create class , [Hotel, Room, Single] ,  -  , [Hotel: [], Room: [], Single: [], null: []] ,  - 
2023-07-26 09:25:46.266 , INFO , assessAtEnd , update class name , [Hotel, Room, Single, Double] ,  -  , [Hotel: [], Room: [], Single: [], Double: []] ,  - 
2023-07-26 09:26:21.751 , INFO , assessAtEnd , Create class , [Hotel, Room, Single, Double] ,  -  , [Hotel: [], Room: [], Single: [], Double: [], null: []] ,  - 
