2023-07-26 10:41:40.373 , INFO , null , Application started , [] ,  -  , [] ,  - 
2023-07-26 10:46:53.020 , INFO , assessAtEnd , Create class , [] ,  -  , [null: []] ,  - 
2023-07-26 10:46:58.776 , INFO , assessAtEnd , update class name , [Hotel] ,  -  , [Hotel: []] ,  - 
2023-07-26 10:47:44.505 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-26 10:47:44.512 , INFO , assessAtEnd , Create class , [Hotel] ,  -  , [Hotel: [], null: []] ,  - 
2023-07-26 10:47:49.453 , INFO , assessAtEnd , update class name , [Hotel, Room] ,  -  , [Hotel: [], Room: []] ,  - 
2023-07-26 10:49:05.274 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: []] ,  - 
2023-07-26 10:49:05.282 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: []] ,  - 
2023-07-26 10:49:09.448 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: [], null: []] ,  - 
2023-07-26 10:49:09.456 , INFO , assessAtEnd , Create class , [Hotel, Room] ,  -  , [Hotel: [], Room: [], null: [], null: []] ,  - 
2023-07-26 10:49:17.771 , INFO , assessAtEnd , update class name , [Hotel, Room, Person] ,  -  , [Hotel: [], Room: [], null: [], Person: []] ,  - 
2023-07-26 10:49:23.728 , INFO , assessAtEnd , Create class , [Hotel, Room, Person] ,  -  , [Hotel: [], Room: [], null: [], Person: [], null: []] ,  - 
2023-07-26 10:49:23.736 , INFO , assessAtEnd , Create class , [Hotel, Room, Person] ,  -  , [Hotel: [], Room: [], null: [], Person: [], null: []] ,  - 
2023-07-26 10:49:23.737 , INFO , assessAtEnd , Create class , [Hotel, Room, Person] ,  -  , [Hotel: [], Room: [], null: [], Person: [], null: []] ,  - 
2023-07-26 10:49:27.699 , INFO , assessAtEnd , update class name , [Hotel, Room, Person, Role] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: []] ,  - 
2023-07-26 10:49:36.497 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], null: []] ,  - 
2023-07-26 10:49:36.504 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], null: []] ,  - 
2023-07-26 10:49:36.506 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], null: []] ,  - 
2023-07-26 10:49:44.787 , INFO , assessAtEnd , update class name , [Hotel, Room, Person, Role, Guest] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: []] ,  - 
2023-07-26 10:49:54.784 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], null: []] ,  - 
2023-07-26 10:49:54.801 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], null: []] ,  - 
2023-07-26 10:49:54.802 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], null: []] ,  - 
2023-07-26 10:50:06.083 , INFO , assessAtEnd , update class name , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:20.840 , INFO , assessAtEnd , Create inheritance  , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:28.847 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:28.860 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:28.862 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:54.450 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:54.458 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:54.460 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:50:54.461 , INFO , assessAtEnd , Create association , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:51:37.433 , INFO , assessAtEnd , Create attribute , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [null,], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:51:37.441 , INFO , assessAtEnd , Create attribute , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [null,], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:51:37.442 , INFO , assessAtEnd , Create attribute , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [null,], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:51:37.444 , INFO , assessAtEnd , Create attribute , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [null,], null: [], Person: [], Role: [], Guest: [], Staff: []] ,  - 
2023-07-26 10:52:27.408 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
2023-07-26 10:52:27.416 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
2023-07-26 10:52:27.418 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
2023-07-26 10:52:27.420 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
2023-07-26 10:52:27.422 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
2023-07-26 10:52:27.423 , INFO , assessAtEnd , Create class , [Hotel, Room, Person, Role, Guest, Staff] ,  -  , [Hotel: [], Room: [roomType,], null: [], Person: [], Role: [], Guest: [], Staff: [], null: []] ,  - 
